2016-08-07 16:21:35,423 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-07 16:21:35,425 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-07 16:21:35,434 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Jegan Muthaiah\Desktop\IT-Inventory-Management-System\IT_Inventory\src\test\resources
2016-08-07 16:23:29,561 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-07 16:23:29,577 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-07 16:23:29,583 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-07 16:23:29,592 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Jegan Muthaiah\Desktop\IT-Inventory-Management-System\IT_Inventory\src\test\resources
2016-08-07 16:24:07,599 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-07 16:24:07,610 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-07 16:24:07,611 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-07 16:24:07,623 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Jegan Muthaiah\Desktop\IT-Inventory-Management-System\IT_Inventory\src\test\resources
2016-08-07 16:24:45,194 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-07 16:24:45,204 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-07 16:24:45,209 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-07 16:24:45,219 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Jegan Muthaiah\Desktop\IT-Inventory-Management-System\IT_Inventory\src\test\resources
2016-08-07 16:25:02,139 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-07 16:25:02,148 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-07 16:25:02,149 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-07 16:25:02,159 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Jegan Muthaiah\Desktop\IT-Inventory-Management-System\IT_Inventory\src\test\resources
2016-08-07 16:26:23,606 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
